Gene_name,amount_interactors,allinteractors,interactors_processed,IsBait
CTPS2,48,MRPS24;BACE2;CACNG4;FAM174A;HLA-DMB;C1orf111;CLEC4E;CHST10;TBX20;SUGP1;RHOH;SERBP1;RAMP3;LRRN4CL;TNFAIP6;ICAM2;SLC2A1;VSIG4;MRPS23;NPPA;SGCA;TMEM9B;PRSS22;VIPR1;CRCP;IL22RA2;NPRL3;RNASEH2C;APOBEC3C;RAB28;GPR45;SUV39H1;APLNR;DKKL1;TSGA10IP;UPP1;CTPS;ROBO3;METTL10;SHISA3;CDK20;ASAH1;TYROBP;GPR182;AQP12B;CD244;TIGD3;NAAA,MRPS24;BACE2;CACNG4;FAM174A;HLA-DMB;C1orf111;CLEC4E;CHST10;TBX20;SUGP1;RHOH;SERBP1;RAMP3;LRRN4CL;TNFAIP6;ICAM2;SLC2A1;VSIG4;MRPS23;NPPA;SGCA;TMEM9B;PRSS22;VIPR1;CRCP;IL22RA2;NPRL3;RNASEH2C;APOBEC3C;RAB28;GPR45;SUV39H1;APLNR;DKKL1;TSGA10IP;UPP1;CTPS;ROBO3;METTL10;SHISA3;CDK20;ASAH1;TYROBP;GPR182;AQP12B;CD244;TIGD3;NAAA,Y
GTF2H2D,7,GTF2H3;GALC;PTS;GTF2H4;ERCC3;GTF2H5;GTF2H1,GTF2H3;GALC;PTS;GTF2H4;ERCC3;GTF2H5;GTF2H1,Y
NRSN1,170,FGFR1;APP;DSG3;S100A7A;CHST14;RABGEF1;C4A;IGHG2;ULBP3;FGFR4;LRP12;EPHB4;ANXA8;SGCE;RELT;ACVR1;RNF115;IL13RA1;ZDHHC9;FCGBP;LRP10;SLC20A2;FGFRL1;TMEM66;PTPRU;ANKRD13D;LRP5;PTPRS;IL1RAP;LTBP1;STXBP3;VIM;C3;IGSF8;FAM63A;TRIM29;TMEM206;MAN1A2;PCDH10;SERPINA3;HGS;PRTG;TNIP1;BAG3;TBC1D2B;CHSY1;BET1;IGHG1;LRIG3;SDR16C5;SOLH;MYADM;STX12;KIAA0319L;CST6;FAM171A1;LCN2;AHNAK2;CTSL2;ERI3;IFNGR1;NDRG1;STX10;DNAJB5;HS6ST2;IGHG3;MLF1;PRELID1;RNF111;FUT8;IGHG4;DNAJB6;ARHGAP1;NDFIP1;TF;MET;EGFL7;GLG1;CHST11;STX6;A2ML1;TMEM59L;GOLM1;LCP1;BCAM;SERPINB4;RABEP2;CCDC50;TYMP;NDFIP2;FURIN;DSC2;KLK6;CKAP4;CTSF;B4GALT6;UBB;VAMP3;ABHD14A;AGR2;CANT1;ZNF185;TOR1B;EXT1;TMEM59;TAX1BP1;APPL1;EXTL2;APLP2;B4GALT3;DSC3;PKP1;TOM1L1;NRP2;HS6ST1;STX3;LDLR;MTCH2;HIST2H2AC;ST8SIA4;CLSTN3;RHBDD1;IGLC7;EPHA5;BET1L;HGFAC;FAM83D;STX4;H2AFY;FAM171A2;BMPR2;S100A2;MGAT5;TPST2;CALML5;EFNB1;LGR4;CALML3;ZNRF3;ENDOU;CD320;IGLL5;KLK10;ALOXE3;RHBDF2;PTPN23;PAQR3;JUP;GSDMA;LGALS7B;ACVR2A;PUSL1;NDRG2;HSPB8;MAN1A1;IVL;SERPINA9;TNFSF9;GOLIM4;NBR1;C2CD2L;CBR1;NAGK;B4GALT5;RABEP1;RNF149;IDH2;C1orf43;IGKC;SIPA1L2,FGFR1;APP;DSG3;S100A7A;CHST14;RABGEF1;C4A;IGHG2;ULBP3;FGFR4;LRP12;EPHB4;ANXA8;SGCE;RELT;ACVR1;RNF115;IL13RA1;ZDHHC9;FCGBP;LRP10;SLC20A2;FGFRL1;TMEM66;PTPRU;ANKRD13D;LRP5;PTPRS;IL1RAP;LTBP1;STXBP3;VIM;C3;IGSF8;FAM63A;TRIM29;TMEM206;MAN1A2;PCDH10;SERPINA3;HGS;PRTG;TNIP1;BAG3;TBC1D2B;CHSY1;BET1;IGHG1;LRIG3;SDR16C5;SOLH;MYADM;STX12;KIAA0319L;CST6;FAM171A1;LCN2;AHNAK2;CTSL2;ERI3;IFNGR1;NDRG1;STX10;DNAJB5;HS6ST2;IGHG3;MLF1;PRELID1;RNF111;FUT8;IGHG4;DNAJB6;ARHGAP1;NDFIP1;TF;MET;EGFL7;GLG1;CHST11;STX6;A2ML1;TMEM59L;GOLM1;LCP1;BCAM;SERPINB4;RABEP2;CCDC50;TYMP;NDFIP2;FURIN;DSC2;KLK6;CKAP4;CTSF;B4GALT6;UBB;VAMP3;ABHD14A;AGR2;CANT1;ZNF185;TOR1B;EXT1;TMEM59;TAX1BP1;APPL1;EXTL2;APLP2;B4GALT3;DSC3;PKP1;TOM1L1;NRP2;HS6ST1;STX3;LDLR;MTCH2;HIST2H2AC;ST8SIA4;CLSTN3;RHBDD1;IGLC7;EPHA5;BET1L;HGFAC;FAM83D;STX4;H2AFY;FAM171A2;BMPR2;S100A2;MGAT5;TPST2;CALML5;EFNB1;LGR4;CALML3;ZNRF3;ENDOU;CD320;IGLL5;KLK10;ALOXE3;RHBDF2;PTPN23;PAQR3;JUP;GSDMA;LGALS7B;ACVR2A;PUSL1;NDRG2;HSPB8;MAN1A1;IVL;SERPINA9;TNFSF9;GOLIM4;NBR1;C2CD2L;CBR1;NAGK;B4GALT5;RABEP1;RNF149;IDH2;C1orf43;IGKC;SIPA1L2,Y
COX6A1,14,COX7A2L;DNAJC6;UQCRQ;COX7A2;COX4I1;COX5B;UQCRC1;COX6C;COX2;COX1;COX6B1;DHRS4;COX3;UQCRB,COX7A2L;DNAJC6;UQCRQ;COX7A2;COX4I1;COX5B;UQCRC1;COX6C;COX2;COX1;COX6B1;DHRS4;COX3;UQCRB,Y
PRAME,44,PDDC1;RDH8;NOL11;ZNF562;HEATR1;FAM174A;AMMECR1;OSGEP;ERCC4;GPR55;EEF1D;C12orf74;CUL2;C17orf82;IFT81;COPS6;C20orf29;FOXF2;LOXL4;ADC;PIAS4;B4GALT2;IGHM;COPS2;WDR86;QTRT1;FOXD4L6;COPS3;NPY2R;NFKBIL1;F12;P2RY8;LAGE3;NSUN5P1;NPTN;KRT81;WDR90;FSCN3;TACSTD2;GPR182;MFSD4;POTEE;FOXD4;TRMU,PDDC1;RDH8;NOL11;ZNF562;HEATR1;FAM174A;AMMECR1;OSGEP;ERCC4;GPR55;EEF1D;C12orf74;CUL2;C17orf82;IFT81;COPS6;C20orf29;FOXF2;LOXL4;ADC;PIAS4;B4GALT2;IGHM;COPS2;WDR86;QTRT1;FOXD4L6;COPS3;NPY2R;NFKBIL1;F12;P2RY8;LAGE3;NSUN5P1;NPTN;KRT81;WDR90;FSCN3;TACSTD2;GPR182;MFSD4;POTEE;FOXD4;TRMU,Y
FAM164C,18,TTC30A;IFT81;IFT172;RABL5;IFT52;IFT57;PPP1R9B;IFT74;SIKE1;IFT46;CUL7;IFT88;LRP2;MAN2C1;FBXW8;CTTNBP2NL;GPHN;HSPA9,TTC30A;IFT81;IFT172;RABL5;IFT52;IFT57;PPP1R9B;IFT74;SIKE1;IFT46;CUL7;IFT88;LRP2;MAN2C1;FBXW8;CTTNBP2NL;GPHN;HSPA9,Y
DPYSL2,15,MMAB;HAX1;GPM6A;DPYSL4;WDR83;C14orf182;NUBP1;NUFIP1;DPYSL3;DPYS;LGALS7B;C14orf104;FAM19A3;SPSB3;DPYSL5,MMAB;HAX1;GPM6A;DPYSL4;WDR83;C14orf182;NUBP1;NUFIP1;DPYSL3;DPYS;LGALS7B;C14orf104;FAM19A3;SPSB3;DPYSL5,N
GYG2,15,RXRG;RAE1;PPP1R3F;GYG2;GYS1;GYG1;OSCP1;WDR54;SLC16A10;AGL;SLC25A24;SIRT5;NONO;UBB;GYS2,RXRG;RAE1;PPP1R3F;GYS1;GYG1;OSCP1;WDR54;SLC16A10;AGL;SLC25A24;SIRT5;NONO;UBB;GYS2,Y
NPC2,14,NANS;IRGQ;YES1;IGF2R;TTR;ADAMTS1;RNF144A;NME2P1;HK3;IL12RB1;NME2;EPHA7;C6;CFB,NANS;IRGQ;YES1;IGF2R;TTR;ADAMTS1;RNF144A;NME2P1;HK3;IL12RB1;NME2;EPHA7;C6;CFB,Y
DENND3,1,CBR1,CBR1,N
ADH1A,2,ADH1B;HPN,ADH1B;HPN,Y
NHLRC1,5,TRIM47;PCK1;EPM2A;TK2;HNRNPCL1,TRIM47;PCK1;EPM2A;TK2;HNRNPCL1,Y
PPP1R7,19,PRICKLE3;MAGEB3;PPP1R13B;PPP1R13L;TCEAL1;HRG;C1orf114;CD5;PPP1CC;UBXN2A;PPP1CA;SH2D4A;PPP1R16B;PPP1R11;UBXN2B;PPP1CB;ACAA1;PPP1R7;OBFC2B,PRICKLE3;MAGEB3;PPP1R13B;PPP1R13L;TCEAL1;HRG;C1orf114;CD5;PPP1CC;UBXN2A;PPP1CA;SH2D4A;PPP1R16B;PPP1R11;UBXN2B;PPP1CB;ACAA1;OBFC2B,Y
PARS2,5,DLD;HSPB9;DSE;LMX1B;IGKV1D-13,DLD;HSPB9;DSE;LMX1B;IGKV1D-13,N
CPS1,44,MRPS24;LMO2;FOXRED1;DHRS2;FAM174A;AK4;DMAP1;FAHD1;MRPL23;ACAA2;NDUFS7;MRPL21;KIRREL2;TMEM70;DEFB121;RPUSD3;FAM83F;C7orf30;LSMD1;RAMP3;GTPBP5;NIPSNAP3A;ARHGEF26;OXCT2;B3GNT2;GCAT;LMO1;UQCRFS1;FTSJ2;YARS2;SLC25A10;CLEC11A;TRIM43;YBEY;DKKL1;MYL10;NIPSNAP3B;LDHAL6B;EIF2C2;ACSM5;BPNT1;MRPS2;TRMU;MRPS25,MRPS24;LMO2;FOXRED1;DHRS2;FAM174A;AK4;DMAP1;FAHD1;MRPL23;ACAA2;NDUFS7;MRPL21;KIRREL2;TMEM70;DEFB121;RPUSD3;FAM83F;C7orf30;LSMD1;RAMP3;GTPBP5;NIPSNAP3A;ARHGEF26;OXCT2;B3GNT2;GCAT;LMO1;UQCRFS1;FTSJ2;YARS2;SLC25A10;CLEC11A;TRIM43;YBEY;DKKL1;MYL10;NIPSNAP3B;LDHAL6B;EIF2C2;ACSM5;BPNT1;MRPS2;TRMU;MRPS25,N
XCL1,4,FAT4;HSPA5;TUBB3;TUBB8,FAT4;HSPA5;TUBB3;TUBB8,Y
GTPBP8,3,AMIGO3;LAMP2;HSPD1,AMIGO3;LAMP2;HSPD1,Y
IFNA17,6,ZNF586;C16orf54;IFNA1;IFNA5;C10orf107;LHFPL4,ZNF586;C16orf54;IFNA1;IFNA5;C10orf107;LHFPL4,N
GADD45G,5,DDB2;MIDN;MAP3K4;SETX;NEDD8-MDP1,DDB2;MIDN;MAP3K4;SETX;NEDD8-MDP1,Y
DYNC2H1,22,CCT8L2;DYNC2LI1;DUSP16;NAA11;CRYL1;SNAPC4;VCPIP1;GYPA;C19orf38;HS1BP3;HNRNPCL2;C3orf18;EPHA1;NPTN;ARMC5;SEMA4C;FCGRT;IFT20;LOC100507161;PRKY;LGI1;MOCS3,CCT8L2;DYNC2LI1;DUSP16;NAA11;CRYL1;SNAPC4;VCPIP1;GYPA;C19orf38;HS1BP3;HNRNPCL2;C3orf18;EPHA1;NPTN;ARMC5;SEMA4C;FCGRT;IFT20;LOC100507161;PRKY;LGI1;MOCS3,N
OR7C1,1,CCDC94,CCDC94,Y
LPCAT3,38,CD63;ATP5J;VTN;CCR6;CHRM4;CXCR4;GCGR;SLC6A20;HCST;SLC22A4;RAMP2;KRTCAP2;MLNR;KCNE1;SLC24A3;KDELR3;IL2RA;SLC22A16;SLC22A6;GPR17;PTDSS1;CRELD1;SGK196;SLC26A6;GYPB;TSPAN8;OPRL1;SLC5A6;C3AR1;TNFSF18;TTYH1;PTH1R;TSPAN15;AQP3;GPR182;CMTM5;OPRM1;HTR2C,CD63;ATP5J;VTN;CCR6;CHRM4;CXCR4;GCGR;SLC6A20;HCST;SLC22A4;RAMP2;KRTCAP2;MLNR;KCNE1;SLC24A3;KDELR3;IL2RA;SLC22A16;SLC22A6;GPR17;PTDSS1;CRELD1;SGK196;SLC26A6;GYPB;TSPAN8;OPRL1;SLC5A6;C3AR1;TNFSF18;TTYH1;PTH1R;TSPAN15;AQP3;GPR182;CMTM5;OPRM1;HTR2C,N
C21orf70,20,CCBP2;RBM4B;ING3;HIST1H1E;SERBP1;GTPBP5;LIN28A;SGCA;TNFRSF10C;APLNR;BYSL;LAIR1;RPS19;KRR1;RPS16;GRN;FGFBP1;BSND;C10orf107;KMO,CCBP2;RBM4B;ING3;HIST1H1E;SERBP1;GTPBP5;LIN28A;SGCA;TNFRSF10C;APLNR;BYSL;LAIR1;RPS19;KRR1;RPS16;GRN;FGFBP1;BSND;C10orf107;KMO,N
CD81,7,VAMP3;CD9;RAB14;DACH1;PTGFRN;CD81;GNB1,VAMP3;CD9;RAB14;DACH1;PTGFRN;GNB1,Y
SELE,5,MBLAC2;SBF1;DIP2B;DIP2A;MTMR1,MBLAC2;SBF1;DIP2B;DIP2A;MTMR1,Y
KYNU,4,PSME4;ACTA2;CCT2;KIAA1919,PSME4;ACTA2;CCT2;KIAA1919,Y
ZNF716,1,ZNF726,ZNF726,N
B2M,24,CDCA2;KPNA3;TMEM194A;RCC1;HLA-F;CD1E;HLA-C;PPAT;UBE2I;CLTCL1;TPST1;RANGAP1;RGPD5;LOC100507680;RANBP2;DDX31;KPNB1;RGPD2;KPNA4;HFE;DLGAP5;FCGRT;HLA-B;CD1B,CDCA2;KPNA3;TMEM194A;RCC1;HLA-F;CD1E;HLA-C;PPAT;UBE2I;CLTCL1;TPST1;RANGAP1;RGPD5;LOC100507680;RANBP2;DDX31;KPNB1;RGPD2;KPNA4;HFE;DLGAP5;FCGRT;HLA-B;CD1B,Y
KLRC3,26,LRRC3;TMEM181;SIDT2;HLA-DMB;ATP13A2;SLC47A1;CDK3;PIGM;LRP12;TCTN2;IFNGR1;STIM1;SGCB;DPY19L4;TM9SF4;GALNT13;SEL1L;TMEM18;LOC100507680;NRP2;ITGB5;RNF13;TMEM62;RNF167;BACE1;PIGO,LRRC3;TMEM181;SIDT2;HLA-DMB;ATP13A2;SLC47A1;CDK3;PIGM;LRP12;TCTN2;IFNGR1;STIM1;SGCB;DPY19L4;TM9SF4;GALNT13;SEL1L;TMEM18;LOC100507680;NRP2;ITGB5;RNF13;TMEM62;RNF167;BACE1;PIGO,Y
NOMO2,2,NCLN;SCGB2A2,NCLN;SCGB2A2,N
IL17F,20,VCAN;C1GALT1C1;ZMYND19;CHRNA5;VWDE;MAEA;RANBP9;SEC24D;RANBP10;PRPF6;FAT1;TBL1X;HMGCS1;PRKCI;HSPG2;NEDD8-MDP1;POTEF;SQSTM1;BICD2;KEAP1,VCAN;C1GALT1C1;ZMYND19;CHRNA5;VWDE;MAEA;RANBP9;SEC24D;RANBP10;PRPF6;FAT1;TBL1X;HMGCS1;PRKCI;HSPG2;NEDD8-MDP1;POTEF;SQSTM1;BICD2;KEAP1,Y
SCN3B,90,BCAP29;MTCH1;ST6GALNAC3;ULBP3;ZNF146;DHRS7;MED23;EIF2AK3;STEAP3;TBCD;CDSN;INTS7;TMTC3;SLC38A3;ALG6;BCAP31;C6orf174;TMED4;ABCC5;SERPINB3;FLG;TRRAP;ALG8;SERPINB2;HBD;ABCD1;VTI1B;GLT8D1;OMA1;CENPL;SLC25A31;ATP13A2;TMED7;B3GALT6;TMEM39B;TARBP1;MTOR;TMEM30A;ATR;TMEM87A;SLC35B2;ATP13A1;NTSR1;IL27RA;POF1B;A2ML1;LRFN1;FAM20B;C14orf1;EXTL2;C3orf21;ORC4;SLC7A11;ENTPD7;PDS5B;F3;RETSAT;ATP9A;SCARA3;SLC7A6;ITFG3;TMTC4;ARV1;ITFG1;MUL1;UTP20;HSDL1;NOC2L;SERPINB13;PEX10;TMEM181;CALML3;NF1;KIAA2013;USP30;ABCD3;LOC100509631;DPY19L1;TMEM63B;JUP;MANEA;CENPN;GLB1L2;FAR2;TNFSF9;PEX16;OCLN;TUSC3;URB2;SFXN3,BCAP29;MTCH1;ST6GALNAC3;ULBP3;ZNF146;DHRS7;MED23;EIF2AK3;STEAP3;TBCD;CDSN;INTS7;TMTC3;SLC38A3;ALG6;BCAP31;C6orf174;TMED4;ABCC5;SERPINB3;FLG;TRRAP;ALG8;SERPINB2;HBD;ABCD1;VTI1B;GLT8D1;OMA1;CENPL;SLC25A31;ATP13A2;TMED7;B3GALT6;TMEM39B;TARBP1;MTOR;TMEM30A;ATR;TMEM87A;SLC35B2;ATP13A1;NTSR1;IL27RA;POF1B;A2ML1;LRFN1;FAM20B;C14orf1;EXTL2;C3orf21;ORC4;SLC7A11;ENTPD7;PDS5B;F3;RETSAT;ATP9A;SCARA3;SLC7A6;ITFG3;TMTC4;ARV1;ITFG1;MUL1;UTP20;HSDL1;NOC2L;SERPINB13;PEX10;TMEM181;CALML3;NF1;KIAA2013;USP30;ABCD3;LOC100509631;DPY19L1;TMEM63B;JUP;MANEA;CENPN;GLB1L2;FAR2;TNFSF9;PEX16;OCLN;TUSC3;URB2;SFXN3,Y
PDZD11,16,C6orf72;SUMO1;SERF2;TGM5;PSMB3;PNMA2;YWHAE;YWHAG;TSPAN33;MAP4;YWHAZ;FLII;POU3F1;POLR1C;ANKRD56;MRFAP1L1,C6orf72;SUMO1;SERF2;TGM5;PSMB3;PNMA2;YWHAE;YWHAG;TSPAN33;MAP4;YWHAZ;FLII;POU3F1;POLR1C;ANKRD56;MRFAP1L1,N
TUBGCP6,18,TUBGCP5;MRE11A;LGALS3BP;CEP350;MZT2A;TUBGCP3;NME7;RAB11FIP2;MZT2B;TUBGCP6;TUBGCP4;MYST3;NEDD1;MZT1;TUBGCP2;TUBG1;PPRC1;KAT6A,TUBGCP5;MRE11A;LGALS3BP;CEP350;MZT2A;TUBGCP3;NME7;RAB11FIP2;MZT2B;TUBGCP4;MYST3;NEDD1;MZT1;TUBGCP2;TUBG1;PPRC1;KAT6A,Y
IDO1,2,MAN2B1;VSIG8,MAN2B1;VSIG8,Y
KRT1,1,PCM1,PCM1,Y
SGSM1,8,OCIAD1;RANBP3;CETN3;CETN2;ABCB10;ACADVL;PDGFRL;TMEM55A,OCIAD1;RANBP3;CETN3;CETN2;ABCB10;ACADVL;PDGFRL;TMEM55A,Y
C1QBP,148,PHB2;CLPX;KLHL13;RPL18;ZNF747;RNF220;CHST5;NPM2;GTF3C2;CHTOP;PHB;ETFB;LUC7L;RPL10;FXR2;CCDC140;CC2D1B;NOL9;NO66;YBX1;USP51;THRAP3;CMAS;FLOT2;HIST1H3E;CHCHD2P9;TCF15;ZNF653;GNAS;ATP5O;NEIL1;LRRC17;RPL8;H1FNT;BNC2;STOM;LLGL2;GAS2L2;HMGA2;PTRF;TFPT;NEUROG3;E4F1;VTN;TNFSF12;SLC12A2;FOXE3;PRKCDBP;RPS2;ZNF524;CHMP2B;CHCHD2;LUC7L2;ATP5A1;NDUFS1;GLTSCR2;DDX50;MAGED2;ZFP91;JPH4;RPS9;CLEC3A;ERLIN1;CLCN7;LRP3;OSM;ZNF579;BEND7;CHCHD10;TTC16;PUF60;CHMP4B;KIDINS220;ZNF385C;RPL17;THOC4;ATP6V0A1;RSPO1;BHLHE23;FOXD4;MAGEB2;COX5B;HIST1H3J;UQCRC1;H2AFB2;NDUFA2;LSM14B;HIST1H3F;PDGFB;POLDIP2;DUXAP10;RNASEH1;FBL;RANBP9;STOML2;AKAP17A;C1QBP;TNFRSF13B;ERH;NOM1;GDF15;C1orf63;GNLY;CHCHD3;EPS8L1;TMEM43;NDUFA7;U2AF2;MZF1;RPL37;ALDH18A1;ZRSR2;FLOT1;SOAT1;RPL32;DHX29;SOX21;ABCD3;ATP6V1B2;H2AFB1;YBX2;MAGEB10;PRM2;ZNF689;BHLHA15;MBD6;CHST8;CSDA;LBR;DDX54;CHMP1A;VDAC2;H2AFB3;KIAA1522;RPL28;TNP2;GOLIM4;PRR20A;ERLIN2;MRPL47;TRPM7;ZNF707;HMGA1;BAG1;RBBP7;SS18L2;CAV1;DDX21,PHB2;CLPX;KLHL13;RPL18;ZNF747;RNF220;CHST5;NPM2;GTF3C2;CHTOP;PHB;ETFB;LUC7L;RPL10;FXR2;CCDC140;CC2D1B;NOL9;NO66;YBX1;USP51;THRAP3;CMAS;FLOT2;HIST1H3E;CHCHD2P9;TCF15;ZNF653;GNAS;ATP5O;NEIL1;LRRC17;RPL8;H1FNT;BNC2;STOM;LLGL2;GAS2L2;HMGA2;PTRF;TFPT;NEUROG3;E4F1;VTN;TNFSF12;SLC12A2;FOXE3;PRKCDBP;RPS2;ZNF524;CHMP2B;CHCHD2;LUC7L2;ATP5A1;NDUFS1;GLTSCR2;DDX50;MAGED2;ZFP91;JPH4;RPS9;CLEC3A;ERLIN1;CLCN7;LRP3;OSM;ZNF579;BEND7;CHCHD10;TTC16;PUF60;CHMP4B;KIDINS220;ZNF385C;RPL17;THOC4;ATP6V0A1;RSPO1;BHLHE23;FOXD4;MAGEB2;COX5B;HIST1H3J;UQCRC1;H2AFB2;NDUFA2;LSM14B;HIST1H3F;PDGFB;POLDIP2;DUXAP10;RNASEH1;FBL;RANBP9;STOML2;AKAP17A;TNFRSF13B;ERH;NOM1;GDF15;C1orf63;GNLY;CHCHD3;EPS8L1;TMEM43;NDUFA7;U2AF2;MZF1;RPL37;ALDH18A1;ZRSR2;FLOT1;SOAT1;RPL32;DHX29;SOX21;ABCD3;ATP6V1B2;H2AFB1;YBX2;MAGEB10;PRM2;ZNF689;BHLHA15;MBD6;CHST8;CSDA;LBR;DDX54;CHMP1A;VDAC2;H2AFB3;KIAA1522;RPL28;TNP2;GOLIM4;PRR20A;ERLIN2;MRPL47;TRPM7;ZNF707;HMGA1;BAG1;RBBP7;SS18L2;CAV1;DDX21,Y
SPNS3,12,PLUNC;IGHA1;IGHA2;PIGR;LTF;DMBT1;C20orf114;LACRT;CLCC1;LCN1;ZG16B;MUC5B,PLUNC;IGHA1;IGHA2;PIGR;LTF;DMBT1;C20orf114;LACRT;CLCC1;LCN1;ZG16B;MUC5B,Y
ZFP1,14,PDDC1;KRT31;CCDC53;CBX1;IPO8;SESN3;TRIM28;DRG1;PTS;HIP1;SERTAD4;ZAK;NPAT;AKR1C2,PDDC1;KRT31;CCDC53;CBX1;IPO8;SESN3;TRIM28;DRG1;PTS;HIP1;SERTAD4;ZAK;NPAT;AKR1C2,Y
GEMIN4,48,SNRPN;SNRPB2;SNRPE;SNRPF;CD40;FPR1;CD70;SNRNP70;SNRPA;CLTCL1;GEMIN7;SLC2A1;GEMIN6;ARL13B;EPB41L5;BTNL9;GPR45;RBM39;METTL21B;GPR17;FGF14;CREB3L3;SMN1;CPSF6;C3orf18;C4orf49;SNRPB;P2RY8;SNRPD2;PHKA1;NPTN;ILVBL;FAM36A;COPG1;F2RL1;STRAP;FA2H;GEMIN8;CLNS1A;COMTD1;SNRPC;TYROBP;GPR84;MFSD4;VIPR2;MUL1;PXMP2;SNRPG,SNRPN;SNRPB2;SNRPE;SNRPF;CD40;FPR1;CD70;SNRNP70;SNRPA;CLTCL1;GEMIN7;SLC2A1;GEMIN6;ARL13B;EPB41L5;BTNL9;GPR45;RBM39;METTL21B;GPR17;FGF14;CREB3L3;SMN1;CPSF6;C3orf18;C4orf49;SNRPB;P2RY8;SNRPD2;PHKA1;NPTN;ILVBL;FAM36A;COPG1;F2RL1;STRAP;FA2H;GEMIN8;CLNS1A;COMTD1;SNRPC;TYROBP;GPR84;MFSD4;VIPR2;MUL1;PXMP2;SNRPG,Y
SETX,76,CIB3;FKBP9L;VWA5A;TPST2;IFT27;EFNB1;ITLN1;UBE2T;ACTL6B;C6orf168;NME2P1;MAPK8IP1;TBL1Y;GADD45A;GCGR;PPM1M;RFXANK;INF2;B3GAT3;PAK2;PTGES3;VPS28;PNMA2;C5AR1;C13orf1;TUBB2C;MLNR;PIAS4;CIB2;MAD2L1;LOXL3;TRIM52;BTNL9;KIR2DL4;CDH19;CD2AP;PAK1;NOL4;GYPA;C19orf38;GPR17;ADAM7;TUBB;METTL21B;FZD10;PDGFRA;HNRNPCL2;SSSCA1;P2RY8;NSUN5P1;ARHGAP1;NPTN;FAHD2A;C1orf190;C19orf75;PPP4R1L;ISLR;CCL4L1;CA6;UPP1;C19orf39;THTPA;CITED1;ANKRD10;UBXN6;SETMAR;COMTD1;TACSTD2;SENP3;TSG101;GADD45G;VIPR2;NUBP2;TFPT;APBB1;NEUROG3,CIB3;FKBP9L;VWA5A;TPST2;IFT27;EFNB1;ITLN1;UBE2T;ACTL6B;C6orf168;NME2P1;MAPK8IP1;TBL1Y;GADD45A;GCGR;PPM1M;RFXANK;INF2;B3GAT3;PAK2;PTGES3;VPS28;PNMA2;C5AR1;C13orf1;TUBB2C;MLNR;PIAS4;CIB2;MAD2L1;LOXL3;TRIM52;BTNL9;KIR2DL4;CDH19;CD2AP;PAK1;NOL4;GYPA;C19orf38;GPR17;ADAM7;TUBB;METTL21B;FZD10;PDGFRA;HNRNPCL2;SSSCA1;P2RY8;NSUN5P1;ARHGAP1;NPTN;FAHD2A;C1orf190;C19orf75;PPP4R1L;ISLR;CCL4L1;CA6;UPP1;C19orf39;THTPA;CITED1;ANKRD10;UBXN6;SETMAR;COMTD1;TACSTD2;SENP3;TSG101;GADD45G;VIPR2;NUBP2;TFPT;APBB1;NEUROG3,Y
CELA3B,12,GRN;TIMP3;HSP90AA4P;GDF15;SERPINB1;BCAT2;ADAMTS1;HBD;UBR7;CELA3A;UBR2;NME2,GRN;TIMP3;HSP90AA4P;GDF15;SERPINB1;BCAT2;ADAMTS1;HBD;UBR7;CELA3A;UBR2;NME2,Y
C8orf41,29,SLC18A2;LRRC25;TNFSF12;CD40;BSG;FPR1;SLC39A9;OCIAD1;SLC2A1;TTI1;TNFRSF10C;LDLRAD1;GYPA;GPR45;EFNA4;GPR17;APLNR;CD80;LYPD3;KLRC1;NPTN;GPRC5D;OSBPL3;TACSTD2;TYROBP;GPR182;GPR84;OPRM1;LRRTM2,SLC18A2;LRRC25;TNFSF12;CD40;BSG;FPR1;SLC39A9;OCIAD1;SLC2A1;TTI1;TNFRSF10C;LDLRAD1;GYPA;GPR45;EFNA4;GPR17;APLNR;CD80;LYPD3;KLRC1;NPTN;GPRC5D;OSBPL3;TACSTD2;TYROBP;GPR182;GPR84;OPRM1;LRRTM2,Y
PGM2L1,1,EIF2AK4,EIF2AK4,N
