Gene_name,amount_interactors,allinteractors,interactors_processed,IsBait
TRIM28,182,ZNF589;ZNF8;ZNF747;CBX5;ZNF699;ZNF227;ANAPC7;ZNF567;TRIM24;ZNF561;ZNF460;ZNF317;ZNF584;ZNF224;ZNF620;ZNF695;ZNF823;ZNF485;ZNF418;ZNF720;ZNF333;ZNF799;ZNF732;ZNF674;ZNF114;ZNF558;ZNF30;ZNF268;ZNF302;ZNF552;ZNF85;ZNF124;ZNF34;ZNF440;ZNF726;ZNF776;CBX1;ZNF785;ZNF621;POGK;ZNF468;ZNF544;FAM192A;ZNF287;ZNF888;IPO7;ZNF649;ZNF675;ZNF492;ZNF264;ZNF223;ZNF562;ZNF12;NIP30;ZNF573;ZNF738;ZNF708;ZNF688;ZNF761;ZNF57;ZFP112;ZNF77;TRIM28;ZNF416;ZNF611;ZNF624;ZNF484;ZNF26;ZNF254;ZNF670;PSME3;ZNF430;ZNF805;ZNF320;KDM5C;ZNF644;FTL;ZNF527;ZNF417;ZNF808;ZNF514;ZNF136;ZNF33A;ZNF616;ZNF517;ZNF816;ZNF316;ZNF773;ZNF2;ZNF432;ZNF45;ZNF555;ZNF273;ZNF226;ZNF169;IPO8;ZNF543;ZNF445;ZIM2;LOC100293516;ZNF814;ZNF84;ZNF627;ZNF28;ZNF682;ZNF780A;TRIM33;ZNF331;ZNF383;ZNF443;VPRBP;ZNF554;ZFP1;ZNF669;ZNF655;ZNF274;TIMM50;ZNF382;ZFP30;ZNF721;ZNF765;ZNF564;ZNF17;ZNF791;ZNF354B;ZNF324B;ZNF33B;ZNF813;ZNF14;ZNF764;ZNF184;ZNF718;ZNF37A;ZNF284;ZNF713;ZNF600;ZNF607;CDC26;ZFP90;CBX3;MAGEA9;ZNF248;ZNF550;ZNF684;ZNF324;ZNF724P;ZNF480;ZNF585B;ZNF354A;ZNF350;ZNF91;ZNF658;ZNF74;ZNF195;ZNF557;ZNF689;ZNF250;ZNF845;ZNF673;ZNF267;ZNF92;ZNF829;ZNF354C;ZNF766;ZNF81;ZNF566;ZNF19;ZNF235;ZNF490;TRIM26;ZNF587;ZNF7;ZNF595;ZNF707;RBAK;ZNF701;ZNF44;PIK3C2A;ZNF483;ZNF100;SMARCAD1;SET,ZNF589;ZNF8;ZNF747;CBX5;ZNF699;ZNF227;ANAPC7;ZNF567;TRIM24;ZNF561;ZNF460;ZNF317;ZNF584;ZNF224;ZNF620;ZNF695;ZNF823;ZNF485;ZNF418;ZNF720;ZNF333;ZNF799;ZNF732;ZNF674;ZNF114;ZNF558;ZNF30;ZNF268;ZNF302;ZNF552;ZNF85;ZNF124;ZNF34;ZNF440;ZNF726;ZNF776;CBX1;ZNF785;ZNF621;POGK;ZNF468;ZNF544;FAM192A;ZNF287;ZNF888;IPO7;ZNF649;ZNF675;ZNF492;ZNF264;ZNF223;ZNF562;ZNF12;NIP30;ZNF573;ZNF738;ZNF708;ZNF688;ZNF761;ZNF57;ZFP112;ZNF77;ZNF416;ZNF611;ZNF624;ZNF484;ZNF26;ZNF254;ZNF670;PSME3;ZNF430;ZNF805;ZNF320;KDM5C;ZNF644;FTL;ZNF527;ZNF417;ZNF808;ZNF514;ZNF136;ZNF33A;ZNF616;ZNF517;ZNF816;ZNF316;ZNF773;ZNF2;ZNF432;ZNF45;ZNF555;ZNF273;ZNF226;ZNF169;IPO8;ZNF543;ZNF445;ZIM2;LOC100293516;ZNF814;ZNF84;ZNF627;ZNF28;ZNF682;ZNF780A;TRIM33;ZNF331;ZNF383;ZNF443;VPRBP;ZNF554;ZFP1;ZNF669;ZNF655;ZNF274;TIMM50;ZNF382;ZFP30;ZNF721;ZNF765;ZNF564;ZNF17;ZNF791;ZNF354B;ZNF324B;ZNF33B;ZNF813;ZNF14;ZNF764;ZNF184;ZNF718;ZNF37A;ZNF284;ZNF713;ZNF600;ZNF607;CDC26;ZFP90;CBX3;MAGEA9;ZNF248;ZNF550;ZNF684;ZNF324;ZNF724P;ZNF480;ZNF585B;ZNF354A;ZNF350;ZNF91;ZNF658;ZNF74;ZNF195;ZNF557;ZNF689;ZNF250;ZNF845;ZNF673;ZNF267;ZNF92;ZNF829;ZNF354C;ZNF766;ZNF81;ZNF566;ZNF19;ZNF235;ZNF490;TRIM26;ZNF587;ZNF7;ZNF595;ZNF707;RBAK;ZNF701;ZNF44;PIK3C2A;ZNF483;ZNF100;SMARCAD1;SET,Y
FCGR2B,5,CRYM;INSR;GSK3A;MARS2;FCGR2A,CRYM;INSR;GSK3A;MARS2;FCGR2A,Y
TNFRSF10A,34,FADD;PLEKHB2;CASP8;SLC4A7;PPP1R15B;LSS;CD70;CD320;ADCY6;UBB;MFAP3;RAB9A;ERMP1;UGCG;FGFR3;RELT;MPP1;SLC12A4;STEAP3;LRP10;ATP11A;CLCN7;TMEM214;FBXO11;TNFSF9;C9orf41;HLA-DQA1;NDFIP1;SDCBP;C1orf124;GYG2;BMPR1A;PTPRD;TNFRSF10B,FADD;PLEKHB2;CASP8;SLC4A7;PPP1R15B;LSS;CD70;CD320;ADCY6;UBB;MFAP3;RAB9A;ERMP1;UGCG;FGFR3;RELT;MPP1;SLC12A4;STEAP3;LRP10;ATP11A;CLCN7;TMEM214;FBXO11;TNFSF9;C9orf41;HLA-DQA1;NDFIP1;SDCBP;C1orf124;GYG2;BMPR1A;PTPRD;TNFRSF10B,Y
THADA,63,SCN2B;LRRC25;CCKBR;S1PR1;FAM174A;TPST2;TNFRSF1A;EFNB1;AVPR2;CHRM4;CD40;CD226;FPR1;CD70;CYB5B;OCIAD1;VSIG2;HCST;S1PR4;CD274;C5AR1;EDNRB;MLNR;VASN;P2RY2;FXYD3;PROKR1;VIPR1;BTNL9;GYPA;GPR45;C19orf38;EFNA4;GPR17;APLNR;CD80;FZD10;CLEC4A;C3orf18;C4orf49;P2RY8;OPALIN;CA14;NPTN;C11orf87;C19orf75;ILVBL;ITFG3;F2RL1;CD83;OPRL1;P2RY10;SPN;TMEM206;COMTD1;TACSTD2;GPR182;TYROBP;AQP3;MFSD4;GPR84;VIPR2;OPRM1,SCN2B;LRRC25;CCKBR;S1PR1;FAM174A;TPST2;TNFRSF1A;EFNB1;AVPR2;CHRM4;CD40;CD226;FPR1;CD70;CYB5B;OCIAD1;VSIG2;HCST;S1PR4;CD274;C5AR1;EDNRB;MLNR;VASN;P2RY2;FXYD3;PROKR1;VIPR1;BTNL9;GYPA;GPR45;C19orf38;EFNA4;GPR17;APLNR;CD80;FZD10;CLEC4A;C3orf18;C4orf49;P2RY8;OPALIN;CA14;NPTN;C11orf87;C19orf75;ILVBL;ITFG3;F2RL1;CD83;OPRL1;P2RY10;SPN;TMEM206;COMTD1;TACSTD2;GPR182;TYROBP;AQP3;MFSD4;GPR84;VIPR2;OPRM1,N
MAGOH;MAGOHB,26,WIBG;ITPRIPL2;MAP3K4;PGD;ITGA1;KIF3B;ZNF207;GOLGA4;RBKS;ZNF609;SLC35E1;FEM1A;RBM8A;TGS1;APPBP2;CROCC;C5orf44;HPS5;KIF26A;KIF16B;MAGOHB;MAGOH;DNMT3B;HSPA4L;KIF17;SNX29,WIBG;ITPRIPL2;MAP3K4;PGD;ITGA1;KIF3B;ZNF207;GOLGA4;RBKS;ZNF609;SLC35E1;FEM1A;RBM8A;TGS1;APPBP2;CROCC;C5orf44;HPS5;KIF26A;KIF16B;MAGOHB;MAGOH;DNMT3B;HSPA4L;KIF17;SNX29,Y
GSTP1,13,ABHD14A;RBMX;GABPB1;NDUFA3;C1QBP;ZNF518A;BAHCC1;GSTP1;TXNL4A;GORASP2;ACY1;TMSB10;UBE2O,ABHD14A;RBMX;GABPB1;NDUFA3;C1QBP;ZNF518A;BAHCC1;TXNL4A;GORASP2;ACY1;TMSB10;UBE2O,Y
MOBKL1B,4,LATS2;ANXA7;STK38L;MOBKL1A,LATS2;ANXA7;STK38L;MOBKL1A,N
EIF4E3,2,C1orf38;TBC1D4,C1orf38;TBC1D4,Y
SELRC1,22,HSPB2;DPP8;FAM46B;MPPED1;TTDN1;TDGF1;COX11;MTFP1;CKMT2;C13orf1;B4GALT3;CRHBP;PDCD2L;CHCHD4;ODF3L2;HOXB1;TIMP3;B3GNT3;ACOT8;C15orf17;LYZL6;C11orf54,HSPB2;DPP8;FAM46B;MPPED1;TTDN1;TDGF1;COX11;MTFP1;CKMT2;C13orf1;B4GALT3;CRHBP;PDCD2L;CHCHD4;ODF3L2;HOXB1;TIMP3;B3GNT3;ACOT8;C15orf17;LYZL6;C11orf54,N
C3orf58,5,SBSN;CDSN;GOLPH3;SERPINA12;GOLPH3L,SBSN;CDSN;GOLPH3;SERPINA12;GOLPH3L,Y
